Mvir[M_sun/h] sigma(M,0) D(z) D(z_f,peak) c_vir
2.142000e+14 0.793278 1.000000 0.736398 6.004475
2.002000e+14 0.805766 1.000000 0.733970 6.054314
1.302000e+14 0.887976 1.000000 0.718779 6.379472
1.120000e+14 0.917856 1.000000 0.713570 6.496408
1.012000e+14 0.938301 1.000000 0.710094 6.576045
9.870000e+13 0.943385 1.000000 0.709240 6.595800
9.636000e+13 0.948275 1.000000 0.708422 6.614785
9.304000e+13 0.955449 1.000000 0.707230 6.642605
8.346000e+13 0.977875 1.000000 0.703553 6.729333
7.946000e+13 0.988109 1.000000 0.701901 6.768791
7.432000e+13 1.002141 1.000000 0.699660 6.822773
7.413000e+13 1.002681 1.000000 0.699574 6.824847
7.289000e+13 1.006239 1.000000 0.699011 6.838511
7.245000e+13 1.007518 1.000000 0.698809 6.843421
7.014000e+13 1.014378 1.000000 0.697729 6.869735
6.891000e+13 1.018135 1.000000 0.697140 6.884132
6.874000e+13 1.018660 1.000000 0.697058 6.886143
6.514000e+13 1.030133 1.000000 0.695273 6.930043
6.497000e+13 1.030692 1.000000 0.695186 6.932179
6.463000e+13 1.031816 1.000000 0.695012 6.936475
6.257000e+13 1.038766 1.000000 0.693941 6.963015
6.108000e+13 1.043954 1.000000 0.693146 6.982804
5.955000e+13 1.049431 1.000000 0.692310 7.003676
5.928000e+13 1.050413 1.000000 0.692161 7.007416
5.835000e+13 1.053837 1.000000 0.691640 7.020451
5.774000e+13 1.056116 1.000000 0.691295 7.029123
5.496000e+13 1.066852 1.000000 0.689677 7.069925
5.048000e+13 1.085494 1.000000 0.686903 7.140585
4.978000e+13 1.088573 1.000000 0.686449 7.152232
4.925000e+13 1.090936 1.000000 0.686101 7.161167
4.919000e+13 1.091206 1.000000 0.686061 7.162188
4.898000e+13 1.092151 1.000000 0.685922 7.165759
4.572000e+13 1.107435 1.000000 0.683692 7.223444
4.564000e+13 1.107825 1.000000 0.683635 7.224914
4.459000e+13 1.113017 1.000000 0.682884 7.244472
4.385000e+13 1.116758 1.000000 0.682344 7.258552
4.262000e+13 1.123135 1.000000 0.681429 7.282533
4.222000e+13 1.125253 1.000000 0.681126 7.290491
4.164000e+13 1.128364 1.000000 0.680681 7.302176
4.089000e+13 1.132459 1.000000 0.680098 7.317546
3.999000e+13 1.137484 1.000000 0.679385 7.336391
3.963000e+13 1.139529 1.000000 0.679096 7.344055
3.962000e+13 1.139586 1.000000 0.679088 7.344269
3.924000e+13 1.141768 1.000000 0.678780 7.352444
3.904000e+13 1.142926 1.000000 0.678616 7.356781
3.897000e+13 1.143332 1.000000 0.678559 7.358301
3.892000e+13 1.143623 1.000000 0.678518 7.359391
3.886000e+13 1.143973 1.000000 0.678469 7.360701
3.800000e+13 1.149054 1.000000 0.677755 7.379717
3.678000e+13 1.156484 1.000000 0.676715 7.407493
3.674000e+13 1.156733 1.000000 0.676680 7.408423
3.464000e+13 1.170202 1.000000 0.674812 7.458678
3.376000e+13 1.176118 1.000000 0.673997 7.480714
3.354000e+13 1.177623 1.000000 0.673790 7.486316
3.343000e+13 1.178380 1.000000 0.673686 7.489133
3.324000e+13 1.179694 1.000000 0.673506 7.494022
3.301000e+13 1.181296 1.000000 0.673287 7.499981
3.208000e+13 1.187900 1.000000 0.672385 7.524529
3.200000e+13 1.188478 1.000000 0.672307 7.526676
3.123000e+13 1.194124 1.000000 0.671540 7.547638
3.122000e+13 1.194199 1.000000 0.671529 7.547916
3.051000e+13 1.199545 1.000000 0.670806 7.567744
3.046000e+13 1.199926 1.000000 0.670755 7.569157
3.045000e+13 1.200003 1.000000 0.670745 7.569442
3.044000e+13 1.200079 1.000000 0.670734 7.569724
3.010000e+13 1.202695 1.000000 0.670382 7.579419
2.987000e+13 1.204483 1.000000 0.670141 7.586043
2.918000e+13 1.209939 1.000000 0.669409 7.606242
2.864000e+13 1.214310 1.000000 0.668824 7.622410
2.861000e+13 1.214555 1.000000 0.668792 7.623316
2.816000e+13 1.218272 1.000000 0.668296 7.637054
2.800000e+13 1.219609 1.000000 0.668118 7.641994
2.765000e+13 1.222564 1.000000 0.667726 7.652907
2.760000e+13 1.222990 1.000000 0.667669 7.654479
2.638000e+13 1.233644 1.000000 0.666261 7.693775
2.548000e+13 1.241857 1.000000 0.665184 7.724017
2.535000e+13 1.243070 1.000000 0.665025 7.728480
2.499000e+13 1.246465 1.000000 0.664582 7.740965
2.456000e+13 1.250591 1.000000 0.664045 7.756129
2.425000e+13 1.253615 1.000000 0.663652 7.767236
2.416000e+13 1.254501 1.000000 0.663537 7.770489
2.407000e+13 1.255391 1.000000 0.663422 7.773756
2.377000e+13 1.258383 1.000000 0.663034 7.784736
2.364000e+13 1.259693 1.000000 0.662865 7.789541
2.255000e+13 1.270995 1.000000 0.661411 7.830955
2.205000e+13 1.276382 1.000000 0.660722 7.850666
2.186000e+13 1.278465 1.000000 0.660456 7.858282
2.129000e+13 1.284834 1.000000 0.659646 7.881553
2.115000e+13 1.286427 1.000000 0.659444 7.887370
2.109000e+13 1.287113 1.000000 0.659357 7.889874
2.079000e+13 1.290577 1.000000 0.658919 7.902515
2.069000e+13 1.291744 1.000000 0.658772 7.906772
2.049000e+13 1.294096 1.000000 0.658475 7.915348
1.975000e+13 1.303025 1.000000 0.657353 7.947877
1.913000e+13 1.310793 1.000000 0.656382 7.976134
1.907000e+13 1.311560 1.000000 0.656286 7.978922
1.889000e+13 1.313875 1.000000 0.655998 7.987334
1.889000e+13 1.313875 1.000000 0.655998 7.987334
1.887000e+13 1.314134 1.000000 0.655966 7.988275
1.869000e+13 1.316476 1.000000 0.655675 7.996782
1.827000e+13 1.322039 1.000000 0.654986 8.016975
1.823000e+13 1.322576 1.000000 0.654919 8.018923
1.803000e+13 1.325282 1.000000 0.654585 8.028737
1.796000e+13 1.326236 1.000000 0.654467 8.032196
1.793000e+13 1.326646 1.000000 0.654417 8.033683
1.743000e+13 1.333599 1.000000 0.653562 8.058873
1.724000e+13 1.336298 1.000000 0.653231 8.068643
1.723000e+13 1.336441 1.000000 0.653213 8.069160
1.686000e+13 1.341797 1.000000 0.652558 8.088534
1.659000e+13 1.345787 1.000000 0.652072 8.102955
1.657000e+13 1.346085 1.000000 0.652036 8.104032
1.634000e+13 1.349545 1.000000 0.651615 8.116529
1.626000e+13 1.350761 1.000000 0.651468 8.120919
1.616000e+13 1.352290 1.000000 0.651282 8.126438
1.613000e+13 1.352751 1.000000 0.651227 8.128102
1.601000e+13 1.354603 1.000000 0.651002 8.134784
1.601000e+13 1.354603 1.000000 0.651002 8.134784
1.600000e+13 1.354758 1.000000 0.650984 8.135343
1.596000e+13 1.355380 1.000000 0.650908 8.137587
1.593000e+13 1.355847 1.000000 0.650852 8.139271
1.573000e+13 1.358986 1.000000 0.650473 8.150589
1.573000e+13 1.358986 1.000000 0.650473 8.150589
1.572000e+13 1.359144 1.000000 0.650454 8.151159
1.561000e+13 1.360890 1.000000 0.650243 8.157452
1.551000e+13 1.362490 1.000000 0.650051 8.163217
1.543000e+13 1.363777 1.000000 0.649896 8.167853
1.540000e+13 1.364262 1.000000 0.649837 8.169599
1.538000e+13 1.364586 1.000000 0.649798 8.170766
1.531000e+13 1.365723 1.000000 0.649662 8.174861
1.528000e+13 1.366212 1.000000 0.649603 8.176621
1.527000e+13 1.366375 1.000000 0.649584 8.177208
1.516000e+13 1.368178 1.000000 0.649367 8.183698
1.514000e+13 1.368507 1.000000 0.649328 8.184882
1.498000e+13 1.371159 1.000000 0.649010 8.194424
1.494000e+13 1.371827 1.000000 0.648930 8.196827
1.479000e+13 1.374349 1.000000 0.648629 8.205896
1.465000e+13 1.376729 1.000000 0.648345 8.214451
1.455000e+13 1.378444 1.000000 0.648140 8.220613
1.451000e+13 1.379133 1.000000 0.648058 8.223088
1.424000e+13 1.383843 1.000000 0.647498 8.240000
1.416000e+13 1.385257 1.000000 0.647331 8.245075
1.396000e+13 1.388831 1.000000 0.646907 8.257896
1.382000e+13 1.391366 1.000000 0.646608 8.266985
1.379000e+13 1.391913 1.000000 0.646543 8.268945
1.350000e+13 1.397268 1.000000 0.645912 8.288130
1.349000e+13 1.397455 1.000000 0.645890 8.288800
1.338000e+13 1.399521 1.000000 0.645647 8.296197
1.333000e+13 1.400467 1.000000 0.645536 8.299583
1.326000e+13 1.401796 1.000000 0.645380 8.304338
1.322000e+13 1.402560 1.000000 0.645290 8.307072
1.322000e+13 1.402560 1.000000 0.645290 8.307072
1.300000e+13 1.406804 1.000000 0.644793 8.322250
1.296000e+13 1.407584 1.000000 0.644702 8.325038
1.294000e+13 1.407975 1.000000 0.644656 8.326436
1.288000e+13 1.409152 1.000000 0.644519 8.330643
1.288000e+13 1.409152 1.000000 0.644519 8.330643
1.284000e+13 1.409940 1.000000 0.644427 8.333458
1.279000e+13 1.410929 1.000000 0.644311 8.336992
1.272000e+13 1.412320 1.000000 0.644149 8.341961
1.268000e+13 1.413119 1.000000 0.644056 8.344814
1.268000e+13 1.413119 1.000000 0.644056 8.344814
1.261000e+13 1.414524 1.000000 0.643893 8.349831
1.259000e+13 1.414927 1.000000 0.643846 8.351270
1.255000e+13 1.415735 1.000000 0.643752 8.354154
