# M[M_sun/h] sigma(M,0) sigma(0.5M,0) z D(z) D(z_f,peak) c_vir_sim c_vir_eps c_vir_eps2
2.142000e+14 0.783295 0.915949 0.000 1.000000 0.747020 6.042713 6.479736 5.917942
2.002000e+14 0.795692 0.929540 0.000 1.000000 0.744079 6.091261 6.543450 5.967942
1.302000e+14 0.877332 1.018756 0.000 1.000000 0.725863 6.408800 6.963014 6.295199
1.120000e+14 0.907018 1.051080 0.000 1.000000 0.719689 6.523357 7.115509 6.413324
1.012000e+14 0.927334 1.073168 0.000 1.000000 0.715589 6.601486 7.219832 6.493895
9.870000e+13 0.932386 1.078656 0.000 1.000000 0.714584 6.620881 7.245770 6.513897
9.636000e+13 0.937247 1.083935 0.000 1.000000 0.713623 6.639530 7.270726 6.533130
9.304000e+13 0.944376 1.091675 0.000 1.000000 0.712223 6.666858 7.307318 6.561312
8.346000e+13 0.966668 1.115858 0.000 1.000000 0.707919 6.752141 7.421703 6.649269
7.946000e+13 0.976841 1.126884 0.000 1.000000 0.705991 6.790976 7.473883 6.689317
7.432000e+13 0.990792 1.141994 0.000 1.000000 0.703382 6.844149 7.545425 6.744155
7.413000e+13 0.991328 1.142575 0.000 1.000000 0.703282 6.846190 7.548171 6.746259
7.289000e+13 0.994866 1.146405 0.000 1.000000 0.702627 6.859658 7.566310 6.760149
7.245000e+13 0.996137 1.147781 0.000 1.000000 0.702393 6.864494 7.572824 6.765137
7.014000e+13 1.002958 1.155163 0.000 1.000000 0.701139 6.890438 7.607787 6.791890
6.891000e+13 1.006694 1.159204 0.000 1.000000 0.700456 6.904639 7.626938 6.806535
6.874000e+13 1.007216 1.159769 0.000 1.000000 0.700361 6.906622 7.629612 6.808580
6.514000e+13 1.018625 1.172107 0.000 1.000000 0.698294 6.949941 7.688073 6.853248
6.497000e+13 1.019181 1.172708 0.000 1.000000 0.698194 6.952050 7.690922 6.855423
6.463000e+13 1.020298 1.173916 0.000 1.000000 0.697993 6.956287 7.696642 6.859792
6.257000e+13 1.027210 1.181386 0.000 1.000000 0.696755 6.982495 7.732052 6.886816
6.108000e+13 1.032369 1.186961 0.000 1.000000 0.695837 7.002040 7.758471 6.906968
5.955000e+13 1.037816 1.192845 0.000 1.000000 0.694873 7.022663 7.786363 6.928231
5.928000e+13 1.038793 1.193900 0.000 1.000000 0.694701 7.026360 7.791367 6.932043
5.835000e+13 1.042199 1.197577 0.000 1.000000 0.694102 7.039247 7.808811 6.945332
5.774000e+13 1.044465 1.200025 0.000 1.000000 0.693704 7.047817 7.820406 6.954166
5.496000e+13 1.055144 1.211552 0.000 1.000000 0.691844 7.088173 7.875066 6.995770
5.048000e+13 1.073688 1.231554 0.000 1.000000 0.688661 7.158120 7.969940 7.067872
4.978000e+13 1.076751 1.234856 0.000 1.000000 0.688142 7.169658 7.985606 7.079764
4.925000e+13 1.079102 1.237390 0.000 1.000000 0.687744 7.178511 7.997629 7.088890
4.919000e+13 1.079370 1.237679 0.000 1.000000 0.687698 7.179520 7.998999 7.089930
4.898000e+13 1.080310 1.238693 0.000 1.000000 0.687540 7.183058 8.003802 7.093576
4.572000e+13 1.095516 1.255076 0.000 1.000000 0.684992 7.240247 8.081538 7.152516
4.564000e+13 1.095904 1.255494 0.000 1.000000 0.684927 7.241705 8.083520 7.154016
4.459000e+13 1.101070 1.261057 0.000 1.000000 0.684071 7.261108 8.109920 7.174010
4.385000e+13 1.104793 1.265065 0.000 1.000000 0.683457 7.275084 8.128945 7.188412
4.262000e+13 1.111138 1.271895 0.000 1.000000 0.682415 7.298888 8.161357 7.212940
4.222000e+13 1.113246 1.274163 0.000 1.000000 0.682070 7.306793 8.172128 7.221085
4.164000e+13 1.116341 1.277494 0.000 1.000000 0.681565 7.318394 8.187932 7.233035
4.089000e+13 1.120416 1.281878 0.000 1.000000 0.680903 7.333663 8.208743 7.248767
3.999000e+13 1.125416 1.287257 0.000 1.000000 0.680094 7.352386 8.234268 7.268055
3.963000e+13 1.127452 1.289446 0.000 1.000000 0.679766 7.360008 8.244666 7.275907
3.962000e+13 1.127508 1.289507 0.000 1.000000 0.679756 7.360217 8.244948 7.276123
3.924000e+13 1.129680 1.291842 0.000 1.000000 0.679407 7.368345 8.256039 7.284496
3.904000e+13 1.130832 1.293081 0.000 1.000000 0.679222 7.372655 8.261918 7.288935
3.897000e+13 1.131237 1.293516 0.000 1.000000 0.679157 7.374171 8.263988 7.290497
3.892000e+13 1.131527 1.293828 0.000 1.000000 0.679110 7.375256 8.265467 7.291616
3.886000e+13 1.131875 1.294202 0.000 1.000000 0.679055 7.376558 8.267244 7.292956
3.800000e+13 1.136931 1.299638 0.000 1.000000 0.678246 7.395464 8.293047 7.312429
3.678000e+13 1.144326 1.307587 0.000 1.000000 0.677069 7.423097 8.330775 7.340890
3.674000e+13 1.144573 1.307852 0.000 1.000000 0.677030 7.424020 8.332037 7.341839
3.464000e+13 1.157980 1.322255 0.000 1.000000 0.674920 7.474055 8.400418 7.393364
3.376000e+13 1.163868 1.328578 0.000 1.000000 0.674001 7.496003 8.430437 7.415966
3.354000e+13 1.165367 1.330188 0.000 1.000000 0.673769 7.501589 8.438076 7.421717
3.343000e+13 1.166120 1.330996 0.000 1.000000 0.673652 7.504394 8.441916 7.424604
3.324000e+13 1.167428 1.332401 0.000 1.000000 0.673449 7.509266 8.448580 7.429622
3.301000e+13 1.169022 1.334112 0.000 1.000000 0.673202 7.515203 8.456705 7.435734
3.208000e+13 1.175597 1.341168 0.000 1.000000 0.672187 7.539680 8.490218 7.460933
3.200000e+13 1.176172 1.341786 0.000 1.000000 0.672099 7.541819 8.493143 7.463135
3.123000e+13 1.181793 1.347817 0.000 1.000000 0.671237 7.562728 8.521783 7.484659
3.122000e+13 1.181867 1.347896 0.000 1.000000 0.671226 7.563003 8.522162 7.484942
3.051000e+13 1.187189 1.353606 0.000 1.000000 0.670414 7.582786 8.549266 7.505305
