# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
1.000000e+01 8.685596 8.685779 0.000 1.000000 0.369094 0.975533 0.966523 18.531872 43.151393 42.792974 0.000000e+00
9.562000e+00 8.685610 8.685788 0.000 1.000000 0.369045 0.975861 0.966990 18.529861 43.164518 42.811623 0.000000e+00
9.144000e+00 8.685624 8.685797 0.000 1.000000 0.368997 0.976194 0.967417 18.527866 43.177837 42.828665 0.000000e+00
8.744000e+00 8.685638 8.685806 0.000 1.000000 0.368949 0.976533 0.967898 18.525880 43.191357 42.847885 0.000000e+00
8.361000e+00 8.685651 8.685814 0.000 1.000000 0.368901 0.976876 0.968339 18.523900 43.205085 42.865459 0.000000e+00
7.995000e+00 8.685664 8.685822 0.000 1.000000 0.368853 0.977226 0.968836 18.521932 43.219033 42.885298 0.000000e+00
7.645000e+00 8.685677 8.685830 0.000 1.000000 0.368806 0.977581 0.969291 18.519975 43.233213 42.903459 0.000000e+00
7.310000e+00 8.685689 8.685838 0.000 1.000000 0.368758 0.977869 0.969701 18.518024 43.244738 42.919854 0.000000e+00
6.990000e+00 8.685701 8.685845 0.000 1.000000 0.368711 0.978236 0.970171 18.516086 43.259360 42.938586 0.000000e+00
6.684000e+00 8.685712 8.685853 0.000 1.000000 0.368665 0.978459 0.970542 18.514157 43.268277 42.953387 0.000000e+00
6.392000e+00 8.685724 8.685860 0.000 1.000000 0.368618 0.978836 0.971026 18.512244 43.283331 42.972711 0.000000e+00
6.112000e+00 8.685734 8.685866 0.000 1.000000 0.368572 0.979143 0.971409 18.510333 43.295585 42.987990 0.000000e+00
5.845000e+00 8.685745 8.685873 0.000 1.000000 0.368526 0.979455 0.971854 18.508439 43.308037 43.005725 0.000000e+00
5.589000e+00 8.685755 8.685879 0.000 1.000000 0.368481 0.979772 0.972249 18.506548 43.320688 43.021498 0.000000e+00
5.344000e+00 8.685765 8.685886 0.000 1.000000 0.368435 0.980013 0.972651 18.504666 43.330326 43.037518 0.000000e+00
5.110000e+00 8.685774 8.685892 0.000 1.000000 0.368390 0.980257 0.973000 18.502794 43.340085 43.051456 0.000000e+00
4.887000e+00 8.685784 8.685898 0.000 1.000000 0.368345 0.980588 0.973414 18.500941 43.353289 43.067965 0.000000e+00
4.673000e+00 8.685793 8.685903 0.000 1.000000 0.368301 0.980925 0.973835 18.499090 43.366731 43.084751 0.000000e+00
4.468000e+00 8.685802 8.685909 0.000 1.000000 0.368256 0.981182 0.974202 18.497245 43.376989 43.099380 0.000000e+00
4.273000e+00 8.685810 8.685914 0.000 1.000000 0.368212 0.981443 0.974574 18.495418 43.387393 43.114232 0.000000e+00
4.086000e+00 8.685818 8.685919 0.000 1.000000 0.368168 0.981708 0.974889 18.493595 43.397952 43.126796 0.000000e+00
3.907000e+00 8.685826 8.685924 0.000 1.000000 0.368124 0.981976 0.975273 18.491781 43.408675 43.142091 0.000000e+00
3.736000e+00 8.685834 8.685929 0.000 1.000000 0.368081 0.982250 0.975663 18.489978 43.419568 43.157646 0.000000e+00
3.572000e+00 8.685842 8.685934 0.000 1.000000 0.368037 0.982527 0.975993 18.488179 43.430640 43.170822 0.000000e+00
