# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
1.000000e+01 8.685596 8.685779 0.000 1.000000 0.369573 0.975533 0.966523 26.810304 72.452689 71.749181 0.000000e+00
9.562000e+00 8.685610 8.685788 0.000 1.000000 0.369521 0.975861 0.966990 26.806674 72.478468 71.785764 0.000000e+00
9.144000e+00 8.685624 8.685797 0.000 1.000000 0.369470 0.976194 0.967417 26.803070 72.504628 71.819196 0.000000e+00
8.744000e+00 8.685638 8.685806 0.000 1.000000 0.369420 0.976533 0.967898 26.799484 72.531187 71.856903 0.000000e+00
8.361000e+00 8.685651 8.685814 0.000 1.000000 0.369369 0.976876 0.968339 26.795909 72.558153 71.891382 0.000000e+00
7.995000e+00 8.685664 8.685822 0.000 1.000000 0.369319 0.977226 0.968836 26.792356 72.585555 71.930309 0.000000e+00
7.645000e+00 8.685677 8.685830 0.000 1.000000 0.369269 0.977581 0.969291 26.788822 72.613412 71.965945 0.000000e+00
7.310000e+00 8.685689 8.685838 0.000 1.000000 0.369219 0.977869 0.969701 26.785301 72.636056 71.998118 0.000000e+00
6.990000e+00 8.685701 8.685845 0.000 1.000000 0.369170 0.978236 0.970171 26.781803 72.664785 72.034880 0.000000e+00
6.684000e+00 8.685712 8.685853 0.000 1.000000 0.369121 0.978459 0.970542 26.778320 72.682305 72.063929 0.000000e+00
6.392000e+00 8.685724 8.685860 0.000 1.000000 0.369072 0.978836 0.971026 26.774866 72.711887 72.101857 0.000000e+00
6.112000e+00 8.685734 8.685866 0.000 1.000000 0.369023 0.979143 0.971409 26.771416 72.735966 72.131846 0.000000e+00
5.845000e+00 8.685745 8.685873 0.000 1.000000 0.368975 0.979455 0.971854 26.767997 72.760436 72.166661 0.000000e+00
5.589000e+00 8.685755 8.685879 0.000 1.000000 0.368927 0.979772 0.972249 26.764584 72.785297 72.197624 0.000000e+00
5.344000e+00 8.685765 8.685886 0.000 1.000000 0.368879 0.980013 0.972651 26.761187 72.804240 72.229074 0.000000e+00
5.110000e+00 8.685774 8.685892 0.000 1.000000 0.368832 0.980257 0.973000 26.757809 72.823419 72.256439 0.000000e+00
4.887000e+00 8.685784 8.685898 0.000 1.000000 0.368784 0.980588 0.973414 26.754464 72.849372 72.288854 0.000000e+00
4.673000e+00 8.685793 8.685903 0.000 1.000000 0.368737 0.980925 0.973835 26.751122 72.875793 72.321814 0.000000e+00
4.468000e+00 8.685802 8.685909 0.000 1.000000 0.368690 0.981182 0.974202 26.747792 72.895957 72.350541 0.000000e+00
4.273000e+00 8.685810 8.685914 0.000 1.000000 0.368644 0.981443 0.974574 26.744495 72.916406 72.379706 0.000000e+00
4.086000e+00 8.685818 8.685919 0.000 1.000000 0.368598 0.981708 0.974889 26.741206 72.937164 72.404379 0.000000e+00
3.907000e+00 8.685826 8.685924 0.000 1.000000 0.368552 0.981976 0.975273 26.737932 72.958243 72.434420 0.000000e+00
3.736000e+00 8.685834 8.685929 0.000 1.000000 0.368506 0.982250 0.975663 26.734678 72.979659 72.464970 0.000000e+00
3.572000e+00 8.685842 8.685934 0.000 1.000000 0.368460 0.982527 0.975993 26.731432 73.001427 72.490849 0.000000e+00
3.416000e+00 8.685849 8.685939 0.000 1.000000 0.368415 0.982715 0.976329 26.728218 73.016158 72.517107 0.000000e+00
3.266000e+00 8.685856 8.685943 0.000 1.000000 0.368370 0.983000 0.976669 26.725003 73.038545 72.543770 0.000000e+00
3.124000e+00 8.685863 8.685948 0.000 1.000000 0.368325 0.983194 0.977015 26.721837 73.053711 72.570857 0.000000e+00
2.987000e+00 8.685870 8.685952 0.000 1.000000 0.368281 0.983488 0.977367 26.718661 73.076780 72.598387 0.000000e+00
2.856000e+00 8.685876 8.685956 0.000 1.000000 0.368236 0.983687 0.977652 26.715499 73.092414 72.620749 0.000000e+00
2.731000e+00 8.685883 8.685960 0.000 1.000000 0.368192 0.983991 0.978015 26.712363 73.116230 72.649133 0.000000e+00
2.612000e+00 8.685889 8.685964 0.000 1.000000 0.368148 0.984197 0.978309 26.709256 73.132385 72.672209 0.000000e+00
