# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
2.142000e+14 0.783295 0.915950 0.000 1.000000 0.730382 0.825628 0.724186 5.370235 5.756395 5.345181 0.000000e+00
2.002000e+14 0.795692 0.929540 0.000 1.000000 0.726988 0.823884 0.721933 5.403048 5.802314 5.382273 0.000000e+00
1.302000e+14 0.877333 1.018757 0.000 1.000000 0.706120 0.812775 0.707719 5.615349 6.101408 5.622615 0.000000e+00
1.120000e+14 0.907019 1.051081 0.000 1.000000 0.699109 0.808889 0.702802 5.691019 6.208792 5.708387 0.000000e+00
1.012000e+14 0.927335 1.073169 0.000 1.000000 0.694470 0.806275 0.699509 5.742367 6.281873 5.766612 0.000000e+00
9.870000e+13 0.932387 1.078658 0.000 1.000000 0.693335 0.805630 0.698699 5.755082 6.299994 5.781032 0.000000e+00
9.636000e+13 0.937248 1.083937 0.000 1.000000 0.692251 0.805012 0.697923 5.767297 6.317413 5.794884 0.000000e+00
9.304000e+13 0.944377 1.091677 0.000 1.000000 0.690673 0.804109 0.696790 5.785175 6.342925 5.815162 0.000000e+00
8.346000e+13 0.966669 1.115860 0.000 1.000000 0.685832 0.801312 0.693291 5.840814 6.422441 5.878274 0.000000e+00
7.946000e+13 0.976842 1.126886 0.000 1.000000 0.683668 0.800049 0.691716 5.866074 6.458601 5.906926 0.000000e+00
7.432000e+13 0.990793 1.141996 0.000 1.000000 0.680745 0.798330 0.689577 5.900586 6.508064 5.946077 0.000000e+00
7.413000e+13 0.991329 1.142577 0.000 1.000000 0.680633 0.798264 0.689495 5.901909 6.509959 5.947578 0.000000e+00
7.289000e+13 0.994867 1.146407 0.000 1.000000 0.679901 0.797831 0.688957 5.910636 6.522478 5.957479 0.000000e+00
7.245000e+13 0.996138 1.147783 0.000 1.000000 0.679638 0.797676 0.688763 5.913768 6.526973 5.961031 0.000000e+00
7.014000e+13 1.002959 1.155165 0.000 1.000000 0.678237 0.796843 0.687731 5.930560 6.551073 5.980081 0.000000e+00
6.891000e+13 1.006695 1.159206 0.000 1.000000 0.677474 0.796390 0.687168 5.939744 6.564263 5.990498 0.000000e+00
6.874000e+13 1.007217 1.159771 0.000 1.000000 0.677368 0.796326 0.687089 5.941026 6.566103 5.991952 0.000000e+00
6.514000e+13 1.018626 1.172109 0.000 1.000000 0.675062 0.794947 0.685380 5.968999 6.606303 6.023684 0.000000e+00
6.497000e+13 1.019182 1.172710 0.000 1.000000 0.674950 0.794880 0.685297 5.970360 6.608260 6.025228 0.000000e+00
6.463000e+13 1.020299 1.173918 0.000 1.000000 0.674726 0.794745 0.685131 5.973093 6.612188 6.028328 0.000000e+00
6.257000e+13 1.027211 1.181388 0.000 1.000000 0.673347 0.793915 0.684104 5.989986 6.636489 6.047490 0.000000e+00
6.108000e+13 1.032371 1.186964 0.000 1.000000 0.672326 0.793297 0.683342 6.002574 6.654604 6.061768 0.000000e+00
5.955000e+13 1.037817 1.192847 0.000 1.000000 0.671254 0.792648 0.682540 6.015839 6.673703 6.076813 0.000000e+00
5.928000e+13 1.038795 1.193903 0.000 1.000000 0.671062 0.792531 0.682396 6.018220 6.677131 6.079514 0.000000e+00
