# 0:Mvir[Msun/h] 1:sigma(M,0) 2:sigma(M_f,0)(f=0.50) 3:z 4:D(z) 5:D(z_f)_simfit 6:D(z_f)_eps(f=0.50) 7:D(z_f)_eps(f=0.16) 8:c_simfit 9:c_eps(f=0.50) 10:c_eps(f=0.16) 11:M_hm[Msun/h]
2.142000e+14 0.783295 0.915950 0.000 1.000000 0.740828 0.825628 0.724186 6.301501 6.773156 6.209496 0.000000e+00
2.002000e+14 0.795692 0.929540 0.000 1.000000 0.737751 0.823884 0.721933 6.349120 6.836322 6.260184 0.000000e+00
1.302000e+14 0.877333 1.018757 0.000 1.000000 0.718743 0.812775 0.707719 6.658180 7.248771 6.589379 0.000000e+00
1.120000e+14 0.907019 1.051081 0.000 1.000000 0.712319 0.808889 0.702802 6.768711 7.397266 6.707164 0.000000e+00
1.012000e+14 0.927335 1.073169 0.000 1.000000 0.708058 0.806275 0.699509 6.843818 7.498444 6.787207 0.000000e+00
9.870000e+13 0.932387 1.078658 0.000 1.000000 0.707015 0.805630 0.698699 6.862429 7.523547 6.807041 0.000000e+00
9.636000e+13 0.937248 1.083937 0.000 1.000000 0.706017 0.805012 0.697923 6.880312 7.547684 6.826099 0.000000e+00
9.304000e+13 0.944377 1.091677 0.000 1.000000 0.704564 0.804109 0.696790 6.906494 7.583042 6.854003 0.000000e+00
8.346000e+13 0.966669 1.115860 0.000 1.000000 0.700101 0.801312 0.693291 6.988039 7.693323 6.940905 0.000000e+00
7.946000e+13 0.976842 1.126886 0.000 1.000000 0.698102 0.800049 0.691716 7.025088 7.743509 6.980384 0.000000e+00
7.432000e+13 0.990793 1.141996 0.000 1.000000 0.695400 0.798330 0.689577 7.075737 7.812194 7.034354 0.000000e+00
7.413000e+13 0.991329 1.142577 0.000 1.000000 0.695297 0.798264 0.689495 7.077679 7.814826 7.036424 0.000000e+00
7.289000e+13 0.994867 1.146407 0.000 1.000000 0.694619 0.797831 0.688957 7.090492 7.832218 7.050077 0.000000e+00
7.245000e+13 0.996138 1.147783 0.000 1.000000 0.694376 0.797676 0.688763 7.095091 7.838461 7.054975 0.000000e+00
7.014000e+13 1.002959 1.155165 0.000 1.000000 0.693078 0.796843 0.687731 7.119753 7.871951 7.081252 0.000000e+00
6.891000e+13 1.006695 1.159206 0.000 1.000000 0.692372 0.796390 0.687168 7.133242 7.890282 7.095625 0.000000e+00
6.874000e+13 1.007217 1.159771 0.000 1.000000 0.692273 0.796326 0.687089 7.135126 7.892840 7.097632 0.000000e+00
6.514000e+13 1.018626 1.172109 0.000 1.000000 0.690135 0.794947 0.685380 7.176232 7.948731 7.141424 0.000000e+00
6.497000e+13 1.019182 1.172710 0.000 1.000000 0.690032 0.794880 0.685297 7.178232 7.951452 7.143555 0.000000e+00
6.463000e+13 1.020299 1.173918 0.000 1.000000 0.689824 0.794745 0.685131 7.182249 7.956916 7.147834 0.000000e+00
6.257000e+13 1.027211 1.181388 0.000 1.000000 0.688544 0.793915 0.684104 7.207084 7.990718 7.174291 0.000000e+00
6.108000e+13 1.032371 1.186964 0.000 1.000000 0.687595 0.793297 0.683342 7.225596 8.015921 7.194009 0.000000e+00
5.955000e+13 1.037817 1.192847 0.000 1.000000 0.686600 0.792648 0.682540 7.245107 8.042499 7.214789 0.000000e+00
5.928000e+13 1.038795 1.193903 0.000 1.000000 0.686422 0.792531 0.682396 7.248609 8.047270 7.218520 0.000000e+00
5.835000e+13 1.042200 1.197580 0.000 1.000000 0.685803 0.792127 0.681897 7.260791 8.063874 7.231496 0.000000e+00
5.774000e+13 1.044466 1.200027 0.000 1.000000 0.685392 0.791858 0.681566 7.268892 8.074916 7.240123 0.000000e+00
5.496000e+13 1.055145 1.211554 0.000 1.000000 0.683471 0.790596 0.680012 7.307011 8.126906 7.280718 0.000000e+00
5.048000e+13 1.073690 1.231557 0.000 1.000000 0.680187 0.788423 0.677344 7.372970 8.216972 7.350951 0.000000e+00
4.978000e+13 1.076752 1.234859 0.000 1.000000 0.679651 0.788067 0.676907 7.383830 8.231812 7.362513 0.000000e+00
4.925000e+13 1.079103 1.237393 0.000 1.000000 0.679241 0.787794 0.676572 7.392165 8.243205 7.371386 0.000000e+00
4.919000e+13 1.079371 1.237682 0.000 1.000000 0.679194 0.787762 0.676534 7.393114 8.244503 7.372397 0.000000e+00
4.898000e+13 1.080312 1.238695 0.000 1.000000 0.679031 0.787654 0.676400 7.396449 8.249066 7.375948 0.000000e+00
4.572000e+13 1.095518 1.255079 0.000 1.000000 0.676405 0.785897 0.674251 7.450224 8.322623 7.433188 0.000000e+00
4.564000e+13 1.095906 1.255497 0.000 1.000000 0.676338 0.785853 0.674197 7.451593 8.324497 7.434647 0.000000e+00
4.459000e+13 1.101072 1.261060 0.000 1.000000 0.675456 0.785260 0.673473 7.469815 8.349446 7.454040 0.000000e+00
4.385000e+13 1.104795 1.265068 0.000 1.000000 0.674823 0.784834 0.672952 7.482934 8.367413 7.468002 0.000000e+00
4.262000e+13 1.111140 1.271898 0.000 1.000000 0.673750 0.784110 0.672069 7.505265 8.398006 7.491764 0.000000e+00
4.222000e+13 1.113248 1.274166 0.000 1.000000 0.673395 0.783870 0.671777 7.512678 8.408165 7.499651 0.000000e+00
4.164000e+13 1.116343 1.277497 0.000 1.000000 0.672875 0.783518 0.671348 7.523552 8.423069 7.511223 0.000000e+00
4.089000e+13 1.120418 1.281881 0.000 1.000000 0.672194 0.783056 0.670785 7.537860 8.442685 7.526447 0.000000e+00
3.999000e+13 1.125418 1.287260 0.000 1.000000 0.671361 0.782491 0.670096 7.555395 8.466731 7.545099 0.000000e+00
3.963000e+13 1.127454 1.289449 0.000 1.000000 0.671023 0.782261 0.669817 7.562530 8.476521 7.552692 0.000000e+00
3.962000e+13 1.127510 1.289510 0.000 1.000000 0.671014 0.782254 0.669809 7.562725 8.476787 7.552898 0.000000e+00
3.924000e+13 1.129682 1.291845 0.000 1.000000 0.670654 0.782010 0.669512 7.570334 8.487228 7.560992 0.000000e+00
3.904000e+13 1.130834 1.293084 0.000 1.000000 0.670464 0.781880 0.669354 7.574367 8.492761 7.565283 0.000000e+00
3.897000e+13 1.131239 1.293520 0.000 1.000000 0.670397 0.781834 0.669299 7.575785 8.494704 7.566791 0.000000e+00
3.892000e+13 1.131529 1.293831 0.000 1.000000 0.670349 0.781802 0.669259 7.576800 8.496101 7.567872 0.000000e+00
3.886000e+13 1.131877 1.294205 0.000 1.000000 0.670292 0.781763 0.669211 7.578018 8.497773 7.569166 0.000000e+00
3.800000e+13 1.136933 1.299642 0.000 1.000000 0.669460 0.781194 0.668521 7.595702 8.522040 7.587977 0.000000e+00
3.678000e+13 1.144328 1.307590 0.000 1.000000 0.668250 0.780367 0.667516 7.621531 8.557507 7.615445 0.000000e+00
3.674000e+13 1.144575 1.307856 0.000 1.000000 0.668210 0.780339 0.667483 7.622393 8.558688 7.616364 0.000000e+00
3.464000e+13 1.157982 1.322259 0.000 1.000000 0.666041 0.778848 0.665675 7.669107 8.622878 7.666036 0.000000e+00
3.376000e+13 1.163870 1.328582 0.000 1.000000 0.665097 0.778196 0.664886 7.689577 8.651023 7.687798 0.000000e+00
3.354000e+13 1.165369 1.330191 0.000 1.000000 0.664858 0.778031 0.664686 7.694785 8.658186 7.693334 0.000000e+00
3.343000e+13 1.166122 1.331000 0.000 1.000000 0.664738 0.777948 0.664586 7.697399 8.661780 7.696112 0.000000e+00
3.324000e+13 1.167430 1.332404 0.000 1.000000 0.664529 0.777804 0.664411 7.701941 8.668028 7.700942 0.000000e+00
