Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.16M,0)
2.142000e+14 0.00 1.000000 0.783295 0.915950 1.160424
2.002000e+14 0.00 1.000000 0.795692 0.929540 1.175944
1.302000e+14 0.00 1.000000 0.877333 1.018757 1.277358
1.120000e+14 0.00 1.000000 0.907019 1.051081 1.313915
1.012000e+14 0.00 1.000000 0.927335 1.073169 1.338841
9.870000e+13 0.00 1.000000 0.932387 1.078658 1.345028
9.636000e+13 0.00 1.000000 0.937248 1.083937 1.350977
9.304000e+13 0.00 1.000000 0.944377 1.091677 1.359694
8.346000e+13 0.00 1.000000 0.966669 1.115860 1.386898
7.946000e+13 0.00 1.000000 0.976842 1.126886 1.399287
7.432000e+13 0.00 1.000000 0.990793 1.141996 1.416247
7.413000e+13 0.00 1.000000 0.991329 1.142577 1.416898
7.289000e+13 0.00 1.000000 0.994867 1.146407 1.421194
7.245000e+13 0.00 1.000000 0.996138 1.147783 1.422738
7.014000e+13 0.00 1.000000 1.002959 1.155165 1.431013
6.891000e+13 0.00 1.000000 1.006695 1.159206 1.435542
6.874000e+13 0.00 1.000000 1.007217 1.159771 1.436175
6.514000e+13 0.00 1.000000 1.018626 1.172109 1.449994
6.497000e+13 0.00 1.000000 1.019182 1.172710 1.450667
6.463000e+13 0.00 1.000000 1.020299 1.173918 1.452019
6.257000e+13 0.00 1.000000 1.027211 1.181388 1.460379
6.108000e+13 0.00 1.000000 1.032371 1.186964 1.466616
5.955000e+13 0.00 1.000000 1.037817 1.192847 1.473195
5.928000e+13 0.00 1.000000 1.038795 1.193903 1.474375
5.835000e+13 0.00 1.000000 1.042200 1.197580 1.478485
5.774000e+13 0.00 1.000000 1.044466 1.200027 1.481220
5.496000e+13 0.00 1.000000 1.055145 1.211554 1.494096
5.048000e+13 0.00 1.000000 1.073690 1.231557 1.516417
4.978000e+13 0.00 1.000000 1.076752 1.234859 1.520099
4.925000e+13 0.00 1.000000 1.079103 1.237393 1.522924
4.919000e+13 0.00 1.000000 1.079371 1.237682 1.523246
4.898000e+13 0.00 1.000000 1.080312 1.238695 1.524376
4.572000e+13 0.00 1.000000 1.095518 1.255079 1.542629
4.564000e+13 0.00 1.000000 1.095906 1.255497 1.543094
4.459000e+13 0.00 1.000000 1.101072 1.261060 1.549288
4.385000e+13 0.00 1.000000 1.104795 1.265068 1.553749
4.262000e+13 0.00 1.000000 1.111140 1.271898 1.561349
4.222000e+13 0.00 1.000000 1.113248 1.274166 1.563872
4.164000e+13 0.00 1.000000 1.116343 1.277497 1.567576
4.089000e+13 0.00 1.000000 1.120418 1.281881 1.572450
3.999000e+13 0.00 1.000000 1.125418 1.287260 1.578430
3.963000e+13 0.00 1.000000 1.127454 1.289449 1.580862
3.962000e+13 0.00 1.000000 1.127510 1.289510 1.580930
3.924000e+13 0.00 1.000000 1.129682 1.291845 1.583525
3.904000e+13 0.00 1.000000 1.130834 1.293084 1.584901
3.897000e+13 0.00 1.000000 1.131239 1.293520 1.585385
3.892000e+13 0.00 1.000000 1.131529 1.293831 1.585731
3.886000e+13 0.00 1.000000 1.131877 1.294205 1.586147
3.800000e+13 0.00 1.000000 1.136933 1.299642 1.592185
3.678000e+13 0.00 1.000000 1.144328 1.307590 1.601011
3.674000e+13 0.00 1.000000 1.144575 1.307856 1.601305
3.464000e+13 0.00 1.000000 1.157982 1.322259 1.617287
3.376000e+13 0.00 1.000000 1.163870 1.328582 1.624299
3.354000e+13 0.00 1.000000 1.165369 1.330191 1.626083
3.343000e+13 0.00 1.000000 1.166122 1.331000 1.626980
3.324000e+13 0.00 1.000000 1.167430 1.332404 1.628536
3.301000e+13 0.00 1.000000 1.169025 1.334115 1.630433
3.208000e+13 0.00 1.000000 1.175599 1.341172 1.638253
3.200000e+13 0.00 1.000000 1.176174 1.341790 1.638937
3.123000e+13 0.00 1.000000 1.181795 1.347821 1.645618
3.122000e+13 0.00 1.000000 1.181869 1.347900 1.645706
3.051000e+13 0.00 1.000000 1.187191 1.353610 1.652029
3.046000e+13 0.00 1.000000 1.187571 1.354017 1.652480
3.045000e+13 0.00 1.000000 1.187647 1.354099 1.652570
3.044000e+13 0.00 1.000000 1.187723 1.354180 1.652661
3.010000e+13 0.00 1.000000 1.190327 1.356974 1.655753
2.987000e+13 0.00 1.000000 1.192107 1.358883 1.657866
2.918000e+13 0.00 1.000000 1.197540 1.364708 1.664313
2.864000e+13 0.00 1.000000 1.201892 1.369373 1.669475
2.861000e+13 0.00 1.000000 1.202136 1.369635 1.669764
2.816000e+13 0.00 1.000000 1.205836 1.373602 1.674152
2.800000e+13 0.00 1.000000 1.207168 1.375029 1.675730
2.765000e+13 0.00 1.000000 1.210110 1.378182 1.679217
2.760000e+13 0.00 1.000000 1.210534 1.378636 1.679719
2.638000e+13 0.00 1.000000 1.221142 1.390002 1.692282
2.548000e+13 0.00 1.000000 1.229322 1.398762 1.701960
2.535000e+13 0.00 1.000000 1.230529 1.400055 1.703388
2.499000e+13 0.00 1.000000 1.233910 1.403675 1.707385
2.456000e+13 0.00 1.000000 1.238019 1.408074 1.712242
2.425000e+13 0.00 1.000000 1.241031 1.411298 1.715801
2.416000e+13 0.00 1.000000 1.241913 1.412242 1.716843
2.407000e+13 0.00 1.000000 1.242799 1.413190 1.717890
2.377000e+13 0.00 1.000000 1.245779 1.416379 1.721409
2.364000e+13 0.00 1.000000 1.247083 1.417775 1.722949
2.255000e+13 0.00 1.000000 1.258340 1.429818 1.736233
2.205000e+13 0.00 1.000000 1.263706 1.435556 1.742560
2.186000e+13 0.00 1.000000 1.265780 1.437774 1.745005
2.129000e+13 0.00 1.000000 1.272124 1.444557 1.752480
2.115000e+13 0.00 1.000000 1.273711 1.446253 1.754349
2.109000e+13 0.00 1.000000 1.274394 1.446984 1.755154
2.079000e+13 0.00 1.000000 1.277845 1.450672 1.759217
2.069000e+13 0.00 1.000000 1.279007 1.451914 1.760586
2.049000e+13 0.00 1.000000 1.281350 1.454419 1.763344
1.975000e+13 0.00 1.000000 1.290245 1.463922 1.773808
1.913000e+13 0.00 1.000000 1.297984 1.472189 1.782907
1.907000e+13 0.00 1.000000 1.298747 1.473004 1.783804
1.889000e+13 0.00 1.000000 1.301054 1.475467 1.786514
1.889000e+13 0.00 1.000000 1.301054 1.475467 1.786514
1.887000e+13 0.00 1.000000 1.301312 1.475742 1.786817
1.869000e+13 0.00 1.000000 1.303645 1.478234 1.789558
1.827000e+13 0.00 1.000000 1.309188 1.484152 1.796067
1.823000e+13 0.00 1.000000 1.309723 1.484723 1.796695
1.803000e+13 0.00 1.000000 1.312418 1.487600 1.799859
1.796000e+13 0.00 1.000000 1.313369 1.488615 1.800975
1.793000e+13 0.00 1.000000 1.313778 1.489052 1.801455
1.743000e+13 0.00 1.000000 1.320705 1.496445 1.809582
1.724000e+13 0.00 1.000000 1.323395 1.499315 1.812737
1.723000e+13 0.00 1.000000 1.323538 1.499467 1.812904
1.686000e+13 0.00 1.000000 1.328874 1.505160 1.819159
1.659000e+13 0.00 1.000000 1.332849 1.509401 1.823818
1.657000e+13 0.00 1.000000 1.333147 1.509718 1.824166
1.634000e+13 0.00 1.000000 1.336594 1.513395 1.828205
1.626000e+13 0.00 1.000000 1.337806 1.514687 1.829624
1.616000e+13 0.00 1.000000 1.339330 1.516312 1.831409
1.613000e+13 0.00 1.000000 1.339789 1.516802 1.831946
1.601000e+13 0.00 1.000000 1.341635 1.518771 1.834108
1.601000e+13 0.00 1.000000 1.341635 1.518771 1.834108
1.600000e+13 0.00 1.000000 1.341790 1.518935 1.834289
1.596000e+13 0.00 1.000000 1.342409 1.519596 1.835014
1.593000e+13 0.00 1.000000 1.342874 1.520092 1.835559
1.573000e+13 0.00 1.000000 1.346002 1.523427 1.839220
1.573000e+13 0.00 1.000000 1.346002 1.523427 1.839220
1.572000e+13 0.00 1.000000 1.346160 1.523595 1.839404
1.561000e+13 0.00 1.000000 1.347900 1.525450 1.841441
1.551000e+13 0.00 1.000000 1.349494 1.527150 1.843306
1.543000e+13 0.00 1.000000 1.350777 1.528517 1.844807
1.540000e+13 0.00 1.000000 1.351260 1.529032 1.845372
1.538000e+13 0.00 1.000000 1.351583 1.529376 1.845750
1.531000e+13 0.00 1.000000 1.352716 1.530584 1.847075
1.528000e+13 0.00 1.000000 1.353203 1.531103 1.847645
1.527000e+13 0.00 1.000000 1.353365 1.531276 1.847835
1.516000e+13 0.00 1.000000 1.355162 1.533192 1.849936
1.514000e+13 0.00 1.000000 1.355491 1.533541 1.850320
1.498000e+13 0.00 1.000000 1.358134 1.536358 1.853411
1.494000e+13 0.00 1.000000 1.358799 1.537068 1.854189
1.479000e+13 0.00 1.000000 1.361313 1.539746 1.857127
1.465000e+13 0.00 1.000000 1.363684 1.542273 1.859898
1.455000e+13 0.00 1.000000 1.365393 1.544094 1.861895
1.451000e+13 0.00 1.000000 1.366080 1.544826 1.862698
1.424000e+13 0.00 1.000000 1.370774 1.549826 1.868181
1.416000e+13 0.00 1.000000 1.372184 1.551328 1.869827
1.396000e+13 0.00 1.000000 1.375746 1.555122 1.873987
1.382000e+13 0.00 1.000000 1.378273 1.557813 1.876937
1.379000e+13 0.00 1.000000 1.378818 1.558394 1.877573
1.350000e+13 0.00 1.000000 1.384156 1.564078 1.883801
1.349000e+13 0.00 1.000000 1.384342 1.564276 1.884019
1.338000e+13 0.00 1.000000 1.386401 1.566468 1.886421
1.333000e+13 0.00 1.000000 1.387343 1.567472 1.887520
1.326000e+13 0.00 1.000000 1.388669 1.568883 1.889066
1.322000e+13 0.00 1.000000 1.389430 1.569693 1.889953
1.322000e+13 0.00 1.000000 1.389430 1.569693 1.889953
1.300000e+13 0.00 1.000000 1.393660 1.574196 1.894885
1.296000e+13 0.00 1.000000 1.394438 1.575024 1.895792
1.294000e+13 0.00 1.000000 1.394828 1.575439 1.896246
1.288000e+13 0.00 1.000000 1.396001 1.576687 1.897614
1.288000e+13 0.00 1.000000 1.396001 1.576687 1.897614
1.284000e+13 0.00 1.000000 1.396787 1.577523 1.898529
1.279000e+13 0.00 1.000000 1.397772 1.578572 1.899678
1.272000e+13 0.00 1.000000 1.399159 1.580049 1.901294
1.268000e+13 0.00 1.000000 1.399956 1.580896 1.902222
1.268000e+13 0.00 1.000000 1.399956 1.580896 1.902222
1.261000e+13 0.00 1.000000 1.401356 1.582386 1.903854
1.259000e+13 0.00 1.000000 1.401758 1.582814 1.904322
1.255000e+13 0.00 1.000000 1.402563 1.583671 1.905260
1.251000e+13 0.00 1.000000 1.403371 1.584531 1.906201
1.249000e+13 0.00 1.000000 1.403776 1.584962 1.906673
1.242000e+13 0.00 1.000000 1.405200 1.586477 1.908332
1.237000e+13 0.00 1.000000 1.406222 1.587564 1.909522
